n_doi,scp_item_type,wos_item_type,first_pubyear,pubyear,scp_year
1,{Letter},NA,2018,2018,NA
1,{Letter},NA,2019,2020,NA
1,{Letter},NA,2020,2022,NA
1,{Letter},NA,2021,2022,NA
1,{Note},"{""Art Exhibit Review""}",2023,2023,2020
1,{Note},"{""Art Exhibit Review"",""Early Access""}",2023,2023,2022
1,{Note},"{""Art Exhibit Review"",""Early Access""}",2023,2024,2023
1,{Note},"{Article,""Early Access""}",2022,2022,2022
1,{Note},"{Article,""Early Access""}",2023,2024,2023
1,{Note},{Biographical-Item},2020,2020,2021
1,{Note},{Biographical-Item},2021,2021,2020
1,{Note},{Biographical-Item},2021,2021,2022
1,{Note},{Biographical-Item},2022,2022,2021
1,{Note},"{Biographical-Item,""Book Chapter""}",2019,2019,2019
1,{Note},"{Biographical-Item,""Early Access""}",2020,2020,2020
1,{Note},"{Biographical-Item,""Early Access""}",2021,2021,2020
1,{Note},"{Biographical-Item,""Early Access""}",2021,2021,2021
1,{Note},"{Biographical-Item,""Early Access""}",2023,2023,2022
1,{Note},"{Biographical-Item,""Early Access""}",2023,2024,2023
1,{Note},"{""Book Review"",""Early Access""}",2022,2022,2020
1,{Note},"{""Book Review"",""Early Access""}",2022,2022,2021
1,{Note},"{""Book Review"",""Early Access""}",2023,2024,2023
1,{Note},"{""Book Review"",""Early Access""}",2024,2024,2022
1,{Note},"{""CC Meeting Heading""}",2020,2020,2020
1,{Note},"{""CC Meeting Heading"",""Early Access""}",2021,2021,2021
1,{Note},"{Correction,""Early Access""}",2023,2023,2021
1,{Note},"{Correction,""Early Access""}",2023,2023,2022
1,{Note},"{Correction,""Early Access""}",2023,2023,2023
1,{Note},"{""Editorial Material""}",2018,2018,2018
1,{Note},"{""Editorial Material""}",2019,2019,2018
1,{Note},"{""Editorial Material""}",2019,2020,2021
1,{Note},"{""Editorial Material""}",2021,2021,2023
1,{Note},"{""Editorial Material"",""Early Access""}",2021,2021,2022
1,{Note},"{""Editorial Material"",""Early Access""}",2021,2022,2021
1,{Note},"{""Editorial Material"",""Retracted Publication""}",2019,2019,2019
1,{Note},"{""Editorial Material"",""Retracted Publication""}",2023,2023,2023
1,{Note},"{""Expression of Concern""}",2022,2022,2022
1,{Note},"{""Fiction, Creative Prose""}",2020,2020,2020
1,{Note},"{""Film Review""}",2020,2020,2020
1,{Note},"{""Film Review""}",2023,2023,2023
1,{Note},"{""Film Review"",""Early Access""}",2021,2021,2021
1,{Note},{Letter},2020,2021,2021
1,{Note},{Letter},2021,2021,2023
1,{Note},{Letter},2021,2022,2022
1,{Note},{Letter},2022,2022,2023
1,{Note},"{""Music Performance Review""}",2021,2021,2021
1,{Note},"{""News Item""}",2018,2018,2019
1,{Note},"{""News Item""}",2021,2021,2020
1,{Note},"{""News Item"",""Early Access""}",2020,2020,2019
1,{Note},"{Poetry,""Early Access""}",2020,2020,2020
1,{Note},"{Poetry,""Early Access""}",2022,2024,2022
1,{Note},"{Poetry,""Early Access""}",2023,2023,2022
1,{Note},"{""Record Review""}",2019,2019,2019
1,{Note},{Reprint},2022,2022,2022
1,{Note},{Retraction},2019,2019,2019
1,{Note},{Review},2019,2019,2018
1,{Note},{Review},2023,2023,2023
1,{Note},"{Review,""Early Access""}",2023,2023,2021
1,{Note},"{Review,""Early Access""}",2023,2023,2023
1,{Note},"{""Software Review""}",2021,2021,2021
1,{Note},"{""Software Review"",""Early Access""}",2023,2023,2023
1,{Note},"{""Theater Review""}",2022,2022,2022
1,{Note},"{""Theater Review"",""Early Access""}",2023,2023,2021
1,{Note},"{""TV Review, Radio Review""}",2021,2021,2021
1,{Note},NA,2011,2011,NA
1,{Note},NA,2021,2024,NA
1,{Review},"{""Art Exhibit Review""}",2024,2024,2024
1,{Review},"{""Art Exhibit Review"",""Early Access""}",2024,2024,2023
1,{Review},{Article},2015,2015,2015
1,{Review},"{Article,""Proceedings Paper""}",2018,2018,2018
1,{Review},"{""Book Review"",""Early Access""}",2024,2024,2023
1,{Review},"{""Editorial Material""}",2016,2016,2016
1,{Review},"{""Editorial Material"",""Early Access""}",2024,2024,2023
1,{Review},"{""News Item""}",2021,2021,2021
1,{Review},{Review},2016,2016,2018
1,{Review},{Review},2020,2020,2020
1,{Review},NA,1999,1999,NA
1,{Review},NA,2005,2005,NA
1,{Review},NA,2007,2007,NA
1,{Review},NA,2021,2021,NA
1,{Review},NA,2022,2022,NA
1,{Review},NA,2023,2023,NA
1,"{""Short Survey""}","{""Art Exhibit Review""}",2019,2019,2020
1,"{""Short Survey""}","{Article,""Early Access""}",2022,2022,2022
1,"{""Short Survey""}",{Biographical-Item},2022,2022,2022
1,"{""Short Survey""}","{""Book Review""}",2019,2019,2019
1,"{""Short Survey""}","{""Book Review""}",2020,2020,2020
1,"{""Short Survey""}","{""Book Review""}",2021,2021,2021
1,"{""Short Survey""}",{Correction},2020,2020,2020
1,"{""Short Survey""}","{""Editorial Material""}",2018,2018,2018
1,"{""Short Survey""}","{""Editorial Material""}",2020,2020,2021
1,"{""Short Survey""}","{""Editorial Material""}",2021,2021,2019
1,"{""Short Survey""}","{""Editorial Material""}",2021,2021,2022
1,"{""Short Survey""}","{""Editorial Material"",""Early Access""}",2022,2023,2022
1,"{""Short Survey""}","{""Editorial Material"",""Retracted Publication""}",2023,2023,2023
1,"{""Short Survey""}","{""Hardware Review""}",2023,2023,2023
1,"{""Short Survey""}","{""Music Performance Review""}",2020,2020,2020
1,"{""Short Survey""}","{""Record Review""}",2020,2020,2020
1,"{""Short Survey""}",{Review},2020,2020,2020
1,"{""Short Survey""}","{Review,""Early Access""}",2022,2022,2022
1,"{""Short Survey""}",NA,2020,2021,NA
1,"{""Short Survey""}",NA,2022,2023,NA
1,{Tombstone},{Article},2017,2017,2018
1,{Tombstone},"{Article,""Data Paper""}",2022,2022,2022
1,{Tombstone},"{Article,""Early Access""}",2022,2022,2022
1,{Tombstone},"{Article,""Proceedings Paper""}",2017,2017,2017
1,{Tombstone},"{Article,""Retracted Publication""}",2019,2019,2019
1,{Tombstone},{Correction},2019,2019,2020
1,{Tombstone},{Correction},2023,2023,2023
1,{Tombstone},"{Correction,""Retracted Publication""}",2019,2019,2019
1,{Tombstone},"{""Editorial Material""}",2022,2022,2022
1,{Tombstone},"{""Editorial Material"",""Early Access""}",2022,2022,2022
1,{Tombstone},"{""Editorial Material"",""Retracted Publication""}",2020,2020,2020
1,{Tombstone},"{""Expression of Concern""}",2019,2019,2019
1,{Tombstone},"{""Expression of Concern""}",2022,2022,2022
1,{Tombstone},"{""Item Withdrawal""}",2019,2019,2019
1,{Tombstone},"{""Item Withdrawal""}",2023,2023,2023
1,{Tombstone},{Letter},2023,2023,2023
1,{Tombstone},"{Letter,""Early Access""}",2022,2022,2022
1,{Tombstone},"{Letter,""Early Access""}",2023,2023,2023
1,{Tombstone},"{Letter,""Retracted Publication""}",2021,2021,2021
1,{Tombstone},{Retraction},2023,2023,2023
1,{Tombstone},"{Retraction,""Early Access""}",2023,2023,2023
1,{Tombstone},"{Retraction,""Retracted Publication""}",2022,2022,2022
1,{Tombstone},"{Review,""Early Access""}",2020,2020,2020
1,{Tombstone},"{Review,""Retracted Publication""}",2022,2022,2022
1,NA,{Article},NA,NA,2016
1,NA,"{Article,""Early Access""}",NA,NA,2023
1,NA,{Bibliography},NA,NA,2023
1,NA,{Biographical-Item},NA,NA,2018
1,NA,{Book},NA,NA,2019
1,NA,"{""Book Review""}",NA,NA,2013
1,NA,"{""Book Review"",""Retracted Publication""}",NA,NA,2019
1,NA,"{""Book Review"",""Retracted Publication""}",NA,NA,2020
1,NA,"{""CC Meeting Heading"",""Early Access""}",NA,NA,2020
1,NA,{Correction},NA,NA,2003
1,NA,"{""Database Review""}",NA,NA,2019
1,NA,"{""Editorial Material""}",NA,NA,2014
1,NA,"{""Editorial Material"",""Book Chapter""}",NA,NA,2019
1,NA,"{""Editorial Material"",""Book Chapter""}",NA,NA,2020
1,NA,"{""Expression of Concern""}",NA,NA,2023
1,NA,"{""Fiction, Creative Prose""}",NA,NA,2023
1,NA,"{""Film Review"",""Early Access""}",NA,NA,2021
1,NA,"{""Film Review"",""Early Access""}",NA,NA,2023
1,NA,"{""Item Withdrawal""}",NA,NA,2021
1,NA,"{""Item Withdrawal"",""Early Access""}",NA,NA,2023
1,NA,"{""Meeting Abstract"",""Early Access""}",NA,NA,2023
1,NA,"{""Meeting Abstract"",""Retracted Publication""}",NA,NA,2021
1,NA,"{""Music Performance Review""}",NA,NA,2023
1,NA,"{""Music Score Review""}",NA,NA,2022
1,NA,"{""Music Score Review"",""Early Access""}",NA,NA,2022
1,NA,"{Poetry,""Early Access""}",NA,NA,2020
1,NA,{Reprint},NA,NA,2019
1,NA,{Reprint},NA,NA,2023
1,NA,"{Retraction,""Early Access""}",NA,NA,2021
1,NA,"{Retraction,""Early Access""}",NA,NA,2022
1,NA,"{Retraction,""Retracted Publication""}",NA,NA,2020
1,NA,{Review},NA,NA,2018
1,NA,{Review},NA,NA,2021
1,NA,{Review},NA,NA,2023
1,NA,"{""Software Review""}",NA,NA,2020
1,NA,"{""Theater Review""}",NA,NA,2022
1,NA,"{""TV Review, Radio Review""}",NA,NA,2022
