issn_l,cr_year,jn_all
1040-0605,2022,143
1040-0605,2023,144
1040-1334,2019,58
1040-1334,2020,70
1040-1334,2021,72
1040-1334,2022,70
1040-1334,2023,70
1040-2004,2019,121
1040-2004,2020,94
1040-2004,2021,83
1040-2004,2022,81
1040-2004,2023,86
1040-2381,2019,42
1040-2381,2020,29
1040-2381,2021,25
1040-2381,2022,24
1040-2381,2023,22
1040-2446,2019,558
1040-2446,2020,688
1040-2446,2021,485
1040-2446,2022,599
1040-2446,2023,389
1040-2659,2019,81
1040-2659,2020,74
1040-2659,2021,69
1040-2659,2022,63
1040-2659,2023,64
1040-3590,2019,211
1040-3590,2020,159
1040-3590,2021,202
1040-3590,2022,193
1040-3590,2023,172
1040-452X,2019,190
1040-452X,2020,111
1040-452X,2021,76
1040-452X,2022,84
1040-452X,2023,59
1040-4651,2019,302
1040-4651,2020,322
1040-4651,2021,325
1040-4651,2022,378
1040-4651,2023,320
1040-5488,2019,141
1040-5488,2020,160
1040-5488,2021,236
1040-5488,2022,129
1040-5488,2023,106
1040-6026,2019,27
1040-6026,2020,26
1040-6026,2021,15
1040-6026,2022,13
1040-6026,2023,12
1040-6182,2019,556
1040-6182,2020,458
1040-6182,2021,421
1040-6182,2022,353
1040-6182,2023,235
1040-6190,2019,102
1040-6190,2020,112
1040-6190,2021,96
1040-6190,2022,93
1040-6190,2023,59
1040-6387,2019,161
1040-6387,2020,170
1040-6387,2021,184
1040-6387,2022,142
1040-6387,2023,135
1040-726X,2019,57
1040-726X,2020,68
1040-726X,2021,64
1040-726X,2022,65
1040-726X,2023,123
1040-7278,2019,269
1040-7278,2020,186
1040-7278,2021,260
1040-7278,2022,186
1040-7278,2023,126
1040-7294,2019,98
1040-7294,2020,96
1040-7294,2021,179
1040-7294,2022,124
1040-7294,2023,90
1040-7308,2019,29
1040-7308,2020,41
1040-7308,2021,63
1040-7308,2022,43
1040-7308,2023,57
1040-7383,2019,44
1040-7383,2020,42
1040-7383,2021,43
1040-7383,2022,43
1040-7383,2023,42
1040-7413,2019,18
1040-7413,2020,12
1040-7413,2021,10
1040-7413,2022,9
1040-7413,2023,6
1040-7782,2019,127
1040-7782,2020,94
1040-7782,2021,50
1040-7782,2022,140
1040-7782,2023,411
1040-7790,2019,52
1040-7790,2020,47
1040-7790,2021,14
1040-7790,2022,24
1040-7790,2023,182
1040-8347,2019,60
1040-8347,2020,96
1040-8347,2021,105
1040-8347,2022,130
1040-8347,2023,97
1040-8363,2019,47
1040-8363,2020,36
1040-8363,2021,29
1040-8363,2022,27
1040-8363,2023,41
1040-8398,2019,198
1040-8398,2020,422
1040-8398,2021,581
1040-8398,2022,660
1040-8398,2023,467
1040-841X,2019,39
1040-841X,2020,51
1040-841X,2021,67
1040-841X,2022,54
1040-841X,2023,45
1040-8428,2019,192
1040-8428,2020,187
1040-8428,2021,265
1040-8428,2022,203
1040-8428,2023,181
1040-8444,2019,39
1040-8444,2020,53
1040-8444,2021,45
1040-8444,2022,43
1040-8444,2023,31
1040-8703,2019,134
1040-8703,2020,143
1040-8703,2021,103
1040-8703,2022,106
1040-8703,2023,103
1040-8711,2019,100
1040-8711,2020,96
1040-8711,2021,86
1040-8711,2022,59
1040-8711,2023,67
1040-872X,2019,79
1040-872X,2020,83
1040-872X,2021,80
1040-872X,2022,66
1040-872X,2023,86
1040-8738,2019,82
1040-8738,2020,102
1040-8738,2021,88
1040-8738,2022,97
1040-8738,2023,88
1040-8746,2019,94
1040-8746,2020,115
1040-8746,2021,96
1040-8746,2022,104
1040-8746,2023,85
1040-8800,2019,78
1040-8800,2020,70
1040-8800,2021,63
1040-8800,2022,69
1040-8800,2023,51
1040-9238,2019,27
1040-9238,2020,36
1040-9238,2021,41
1040-9238,2022,11
1040-9238,2023,8
1040-9289,2019,74
1040-9289,2020,92
1040-9289,2021,93
1040-9289,2022,100
1040-9289,2023,72
1041-0236,2019,201
1041-0236,2020,258
1041-0236,2021,258
1041-0236,2022,207
1041-0236,2023,241
1041-1135,2019,611
1041-1135,2020,490
1041-1135,2021,467
1041-1135,2022,440
1041-1135,2023,468
1041-2573,2019,21
1041-2573,2020,19
1041-2573,2021,24
1041-2573,2022,23
1041-2573,2023,24
1041-2905,2019,48
1041-2905,2020,59
1041-2905,2021,46
1041-2905,2022,57
1041-2905,2023,37
1041-3200,2019,49
1041-3200,2020,45
1041-3200,2021,38
1041-3200,2022,42
1041-3200,2023,38
1041-3545,2019,50
1041-3545,2020,74
1041-3545,2021,50
1041-3545,2022,44
1041-3545,2023,58
1041-4347,2019,266
1041-4347,2020,286
1041-4347,2021,389
1041-4347,2022,617
1041-4347,2023,496
1041-6080,2019,99
1041-6080,2020,86
1041-6080,2021,83
1041-6080,2022,79
1041-6080,2023,86
1041-6102,2019,214
1041-6102,2020,243
1041-6102,2021,222
1041-6102,2022,122
1041-6102,2023,121
1041-7826,2019,96
1041-7826,2020,88
1041-794X,2019,38
1041-794X,2020,36
1041-794X,2021,50
1041-794X,2022,54
1041-794X,2023,28
1042-0533,2019,168
1042-0533,2020,164
1042-0533,2021,129
1042-0533,2022,124
1042-0533,2023,162
1042-1467,2019,7
1042-1629,2019,92
1042-1629,2020,170
1042-1629,2021,167
1042-1629,2022,110
1042-1629,2023,145
1042-1726,2019,43
1042-1726,2020,19
1042-1726,2021,36
1042-1726,2022,46
1042-1726,2023,45
1042-2587,2019,43
1042-2587,2020,65
1042-2587,2021,61
1042-2587,2022,67
1042-2587,2023,33
1042-346X,2019,85
1042-346X,2020,89
1042-346X,2021,71
1042-346X,2022,71
1042-346X,2023,87
1042-3680,2019,73
1042-3680,2020,79
1042-3680,2021,69
1042-3680,2022,74
1042-3680,2023,87
1042-3699,2019,70
1042-3699,2020,71
1042-3699,2021,66
1042-3699,2022,73
1042-3699,2023,69
1042-4067,2019,84
1042-4067,2020,87
1042-4067,2021,111
1042-4067,2022,87
1042-4067,2023,65
1042-4431,2019,91
1042-4431,2020,62
1042-4431,2021,146
1042-4431,2022,153
1042-4431,2023,137
1042-444X,2019,29
1042-444X,2020,28
1042-444X,2021,29
1042-444X,2022,28
1042-444X,2023,23
1042-6914,2019,146
1042-6914,2020,227
1042-6914,2021,198
1042-6914,2022,165
1042-6914,2023,139
1042-7147,2019,289
1042-7147,2020,365
1042-7147,2021,378
1042-7147,2022,361
1042-7147,2023,288
1042-8232,2019,12
1042-8232,2020,24
1042-8232,2021,13
1042-8232,2022,14
1042-8232,2023,15
1042-895X,2019,76
1042-895X,2020,96
1042-895X,2021,86
1042-895X,2022,63
1042-895X,2023,81
1042-9247,2019,34
1042-9247,2020,36
1042-9247,2021,42
1042-9247,2022,33
1042-9247,2023,28
1042-9573,2019,25
1042-9573,2020,27
1042-9573,2021,34
1042-9573,2022,39
1042-9573,2023,33
1042-9670,2019,161
1042-9670,2020,195
1042-9670,2021,201
1042-9670,2022,168
1042-9670,2023,189
1042-9832,2019,57
1042-9832,2020,82
1042-9832,2021,73
1042-9832,2022,53
1042-9832,2023,65
1043-0342,2019,142
1043-0342,2020,159
1043-0342,2021,160
1043-0342,2022,137
1043-0342,2023,129
1043-0679,2019,194
1043-0679,2020,242
1043-0679,2021,266
1043-0679,2022,311
1043-0679,2023,162
1043-1489,2019,40
1043-1489,2020,41
1043-1489,2021,34
1043-1489,2022,39
1043-1489,2023,37
1043-1802,2019,338
1043-1802,2020,283
1043-1802,2021,272
1043-1802,2022,263
1043-1802,2023,237
1043-1810,2019,49
1043-1810,2020,61
1043-1810,2021,47
1043-1810,2022,40
1043-1810,2023,56
1043-2760,2019,104
1043-2760,2020,113
1043-2760,2021,126
1043-2760,2022,97
1043-2760,2023,103
1043-3074,2019,476
1043-3074,2020,504
1043-3074,2021,367
1043-3074,2022,295
1043-3074,2023,312
1043-4062,2019,25
1043-4062,2020,30
1043-4062,2021,31
1043-4062,2022,25
1043-4062,2023,46
1043-4542,2019,41
1043-4542,2020,40
1043-4542,2021,23
1043-4631,2019,17
1043-4631,2020,18
1043-4631,2021,17
1043-4631,2022,24
1043-4631,2023,22
1043-4666,2019,294
1043-4666,2020,358
1043-4666,2021,324
1043-4666,2022,242
1043-4666,2023,254
1043-6596,2019,94
1043-6596,2020,91
1043-6596,2021,69
1043-6596,2022,82
1043-6596,2023,70
1043-6928,2019,19
1043-6928,2020,20
1043-6928,2021,18
1043-6928,2022,18
1043-6928,2023,18
1043-7797,2019,173
1043-7797,2020,44
1043-7797,2021,91
1043-7797,2022,83
1043-7797,2023,52
1043-8599,2019,54
1043-8599,2020,66
1043-8599,2021,33
1043-8599,2022,36
1043-8599,2023,48
1043-9463,2019,78
1043-9463,2020,63
1043-9463,2021,72
1043-9463,2022,58
1043-9463,2023,60
1043-951X,2019,118
1043-951X,2020,184
1043-951X,2021,107
1043-951X,2022,123
1043-951X,2023,152
1043-9862,2019,33
1043-9862,2020,24
1043-9862,2021,34
1043-9862,2022,53
1043-9862,2023,39
1044-0283,2019,39
1044-0283,2020,33
1044-0283,2021,66
1044-0283,2022,96
1044-0283,2023,109
1044-0305,2019,263
1044-0305,2020,361
1044-0305,2021,304
1044-0305,2022,282
1044-0305,2023,354
1044-2073,2019,29
1044-2073,2020,39
1044-2073,2021,26
1044-2073,2022,29
1044-2073,2023,25
1044-3894,2019,38
1044-3894,2020,45
1044-3894,2021,55
1044-3894,2022,40
1044-3894,2023,69
1044-3983,2019,166
1044-3983,2020,216
1044-3983,2021,139
1044-3983,2022,123
1044-3983,2023,125
1044-4068,2019,48
1044-4068,2020,43
1044-4068,2021,37
1044-4068,2022,42
1044-4068,2023,67
1044-5005,2019,21
1044-5005,2020,20
1044-5005,2021,17
1044-5005,2022,19
1044-5005,2023,17
1044-5323,2019,53
1044-5323,2020,42
1044-5323,2021,78
1044-5323,2022,42
1044-5323,2023,100
1044-5463,2019,113
1044-5463,2020,93
1044-5463,2021,98
1044-5463,2022,74
1044-5463,2023,70
1044-5498,2019,170
1044-5498,2020,223
1044-5498,2021,148
1044-5498,2022,112
1044-5498,2023,78
1044-579X,2019,103
1044-579X,2020,161
1044-579X,2021,202
1044-579X,2022,384
1044-579X,2023,95
1044-5803,2019,511
1044-5803,2020,601
1044-5803,2021,741
1044-5803,2022,789
1044-5803,2023,870
1044-7318,2019,110
1044-7318,2020,127
1044-7318,2021,197
1044-7318,2022,387
1044-7318,2023,493
1044-7431,2019,66
1044-7431,2020,66
1044-7431,2021,47
1044-7431,2022,66
1044-7431,2023,73
1044-8004,2019,35
1044-8004,2020,33
1044-8004,2021,46
1044-8004,2022,19
1044-8004,2023,22
1044-8136,2019,63
1044-8136,2020,39
1044-8136,2021,51
1044-8136,2022,69
1044-8136,2023,75
1044-8632,2019,27
1044-8632,2020,21
1044-8632,2021,44
1044-8632,2022,35
1044-8632,2023,27
1045-1056,2019,82
1045-1056,2020,81
1045-1056,2021,51
1045-1056,2022,40
1045-1056,2023,46
1045-1595,2019,29
1045-1595,2020,28
1045-1595,2021,24
1045-1595,2022,29
1045-1595,2023,27
1045-2249,2019,220
1045-2249,2020,130
1045-2249,2021,178
1045-2249,2022,121
1045-2249,2023,125
1045-2257,2019,125
1045-2257,2020,98
1045-2257,2021,83
1045-2257,2022,83
1045-2257,2023,76
1045-2354,2019,40
1045-2354,2020,39
1045-2354,2021,51
1045-2354,2022,53
1045-2354,2023,76
1045-3172,2019,59
1045-3172,2020,59
1045-3172,2021,128
1045-3172,2022,105
1045-3172,2023,86
1045-3873,2019,492
1045-3873,2020,506
1045-3873,2021,459
1045-3873,2022,435
1045-3873,2023,355
1045-389X,2019,210
1045-389X,2020,218
1045-389X,2021,200
1045-389X,2022,144
1045-389X,2023,98
1045-4438,2019,31
1045-4438,2020,46
1045-4438,2021,74
1045-4438,2022,40
1045-4438,2023,25
1045-4446,2019,29
1045-4446,2020,36
1045-4446,2021,25
1045-4446,2022,20
1045-4446,2023,19
1045-4527,2020,50
1045-4527,2021,117
1045-4527,2022,120
1045-4527,2023,122
1045-5752,2019,41
1045-5752,2020,44
1045-5752,2021,33
1045-5752,2022,41
1045-5752,2023,44
1045-6635,2019,105
1045-6635,2020,100
1045-6635,2021,109
1045-6635,2022,88
1045-6635,2023,80
1045-6740,2019,35
1045-6740,2020,57
1045-6740,2021,33
1045-6740,2022,38
1045-6740,2023,30
1045-6767,2019,23
1045-6767,2020,25
1045-6767,2021,35
1045-6767,2022,19
1045-6767,2023,28
1045-7097,2019,30
1045-7097,2020,37
1045-7097,2021,40
1045-7097,2022,24
1045-7097,2023,40
1045-7194,2019,5
1045-7194,2020,6
1045-7194,2021,4
1045-7194,2022,3
1045-7194,2023,6
1045-9219,2019,207
1045-9219,2020,228
1045-9219,2021,244
1045-9219,2022,330
1045-9219,2023,233
1045-9243,2019,181
1045-9243,2020,173
1045-9243,2021,190
1045-9243,2022,202
1045-9243,2023,154
1045-988X,2019,48
1045-988X,2020,33
1045-988X,2021,44
1045-988X,2022,39
1045-988X,2023,47
1046-1310,2019,481
1046-1310,2020,613
1046-1310,2021,1281
1046-1310,2022,1662
1046-1310,2023,1361
1046-2023,2019,198
1046-2023,2020,166
1046-2023,2021,153
1046-2023,2022,253
1046-2023,2023,115
1046-2821,2019,65
1046-2821,2020,65
1046-2821,2021,72
1046-2821,2022,78
1046-2821,2023,75
1046-283X,2019,42
1046-283X,2020,42
1046-283X,2021,39
1046-283X,2022,40
1046-283X,2023,8
1046-2937,2019,35
1046-2937,2020,24
1046-2937,2021,31
1046-2937,2022,48
1046-2937,2023,32
1046-3283,2019,6
1046-3283,2020,17
1046-3283,2021,14
1046-3283,2022,6
1046-3283,2023,15
1046-3976,2019,40
1046-3976,2020,52
1046-3976,2021,46
1046-3976,2022,46
1046-3976,2023,49
1046-4883,2019,42
1046-4883,2020,53
1046-4883,2021,60
1046-4883,2022,56
1046-4883,2023,52
1046-4964,2019,41
1046-4964,2020,33
1046-4964,2021,30
1046-4964,2022,41
1046-4964,2023,35
1046-560X,2019,54
1046-560X,2020,52
1046-560X,2021,61
1046-560X,2022,41
1046-560X,2023,39
1046-5928,2019,163
1046-5928,2020,160
1046-5928,2021,146
1046-5928,2022,115
1046-5928,2023,103
1046-669X,2019,6
1046-669X,2020,13
1046-7408,2019,116
1046-7408,2020,152
1046-7408,2021,101
1046-7408,2022,136
1046-7408,2023,117
1046-8188,2019,45
1046-8188,2020,49
1046-8188,2021,108
1046-8188,2022,41
1046-8188,2023,173
1046-8374,2019,20
1046-8374,2020,27
1046-8374,2021,21
1046-8374,2022,17
1046-8374,2023,26
1046-8781,2019,52
1046-8781,2020,67
1046-8781,2021,29
1046-8781,2022,42
1046-8781,2023,43
1047-1987,2019,49
1047-1987,2020,46
1047-1987,2021,62
1047-1987,2022,30
1047-1987,2023,47
1047-2797,2019,224
1047-2797,2020,201
1047-2797,2021,199
1047-2797,2022,242
1047-2797,2023,161
1047-3203,2019,339
1047-3203,2020,178
1047-3203,2021,233
1047-3203,2022,197
1047-3203,2023,238
1047-3211,2019,314
1047-3211,2020,416
1047-3211,2021,479
1047-3211,2022,579
1047-3211,2023,536
1047-4412,2019,20
1047-4412,2020,28
1047-4412,2021,16
1047-4412,2022,24
1047-4412,2023,15
1047-482X,2019,110
1047-482X,2020,92
1047-482X,2021,124
1047-482X,2022,108
1047-482X,2023,79
1047-4838,2019,672
1047-4838,2020,530
1047-4838,2021,538
1047-4838,2022,610
1047-4838,2023,684
1047-6210,2019,17
1047-6210,2020,41
1047-6210,2021,23
1047-6210,2022,16
1047-6210,2023,22
1047-7594,2019,117
1047-7594,2020,116
1047-7594,2021,87
1047-7594,2022,74
1047-7594,2023,45
1047-7845,2019,17
1047-7845,2020,8
1047-7845,2021,16
1047-7845,2022,18
1047-7845,2023,9
1047-8310,2019,17
1047-8310,2020,16
1047-8310,2021,12
1047-8310,2022,8
1047-8310,2023,29
1047-840X,2019,33
1047-840X,2020,44
1047-840X,2021,42
1047-840X,2022,38
1047-840X,2023,40
1047-8477,2019,143
1047-8477,2020,171
1047-8477,2021,116
1047-8477,2022,87
1047-8477,2023,90
1047-9511,2019,315
1047-9511,2020,484
1047-9511,2021,524
1047-9511,2022,432
1047-9511,2023,362
1047-9651,2019,86
1047-9651,2020,72
1047-9651,2021,77
1047-9651,2022,77
1047-9651,2023,80
1048-1885,2019,75
1048-1885,2020,100
1048-1885,2021,100
1048-1885,2022,83
1048-1885,2023,96
1048-2911,2019,37
1048-2911,2020,44
1048-2911,2021,54
1048-2911,2022,29
1048-2911,2023,35
1048-3713,2019,36
1048-3713,2020,29
1048-3713,2021,15
1048-3950,2019,35
1048-3950,2020,29
1048-3950,2021,28
1048-3950,2022,32
1048-3950,2023,35
1048-6666,2019,49
1048-6666,2020,41
1048-6666,2021,45
1048-6666,2022,38
1048-6666,2023,40
1048-6682,2019,36
1048-6682,2020,46
1048-6682,2021,37
1048-6682,2022,42
1048-6682,2023,55
1048-6801,2019,64
1048-6801,2020,74
1048-6801,2021,55
1048-6801,2022,42
1048-6801,2023,33
1048-891X,2019,282
1048-891X,2020,409
1048-891X,2021,262
1048-891X,2022,326
1048-891X,2023,358
1048-9223,2019,18
1048-9223,2020,16
1048-9223,2021,24
1048-9223,2022,24
1048-9223,2023,24
1048-9843,2019,59
1048-9843,2020,60
1048-9843,2021,41
1048-9843,2022,49
1048-9843,2023,48
1049-0078,2019,34
1049-0078,2020,38
1049-0078,2021,97
1049-0078,2022,98
1049-0078,2023,79
1049-023X,2019,526
1049-023X,2020,152
1049-023X,2021,139
1049-023X,2022,173
1049-023X,2023,148
1049-0965,2019,210
1049-0965,2020,179
1049-0965,2021,198
1049-0965,2022,180
1049-0965,2023,99
1049-2275,2019,1018
1049-2275,2020,1420
1049-2275,2021,1090
1049-2275,2022,737
1049-2275,2023,778
1049-3301,2019,28
1049-3301,2020,29
1049-3301,2021,25
1049-3301,2022,25
1049-3301,2023,20
1049-331X,2019,27
1049-331X,2020,40
1049-331X,2021,79
1049-331X,2022,56
1049-331X,2023,216
1049-3867,2019,69
1049-3867,2020,64
1049-3867,2021,83
1049-3867,2022,83
1049-3867,2023,83
1049-4820,2019,192
1049-4820,2020,206
1049-4820,2021,240
1049-4820,2022,286
1049-4820,2023,252
1049-5142,2019,32
1049-5142,2020,29
1049-5142,2021,28
1049-5142,2022,19
1049-5142,2023,11
1049-6475,2019,44
1049-6475,2020,25
1049-6475,2021,28
1049-6475,2022,38
1049-6475,2023,25
1049-6491,2019,46
1049-6491,2020,58
1049-6491,2021,57
1049-6491,2022,44
1049-6491,2023,45
1049-6505,2019,25
1049-6505,2020,12
1049-6505,2021,18
1049-6505,2022,9
1049-6505,2023,5
1049-7315,2019,55
1049-7315,2020,75
1049-7315,2021,99
1049-7315,2022,124
1049-7315,2023,78
1049-7323,2019,139
1049-7323,2020,163
1049-7323,2021,207
1049-7323,2022,121
1049-7323,2023,143
1049-8001,2021,69
1049-8001,2022,106
1049-8001,2023,126
1049-8850,2019,108
1049-8850,2020,92
1049-8850,2021,111
1049-8850,2022,84
1049-8850,2023,54
1049-8923,2019,382
1049-8923,2020,490
1049-8923,2021,565
1049-8923,2022,579
1049-8923,2023,576
1049-9091,2019,174
1049-9091,2020,218
1049-9091,2021,201
1049-9091,2022,184
1049-9091,2023,183
1049-9644,2019,221
1049-9644,2020,194
1049-9644,2021,257
1049-9644,2022,224
1049-9644,2023,207
1050-1738,2019,106
1050-1738,2020,119
1050-1738,2021,93
1050-1738,2022,97
1050-1738,2023,104
1050-2556,2019,33
1050-2556,2020,22
1050-2556,2021,40
1050-2556,2022,15
1050-2556,2023,14
1050-3293,2019,29
1050-3293,2020,47
1050-3293,2021,22
1050-3293,2022,22
1050-3293,2023,14
1050-3307,2019,64
1050-3307,2020,80
1050-3307,2021,70
1050-3307,2022,88
1050-3307,2023,115
1050-4648,2019,1238
1050-4648,2020,771
1050-4648,2021,329
1050-4648,2022,757
1050-4648,2023,681
1050-5350,2019,110
1050-5350,2020,64
1050-5350,2021,102
1050-5350,2022,81
1050-5350,2023,98
1050-6411,2019,98
1050-6411,2020,76
1050-6411,2021,75
1050-6411,2022,81
1050-6411,2023,69
1050-642X,2019,117
1050-642X,2020,200
1050-642X,2021,166
1050-642X,2022,109
1050-642X,2023,89
1050-6519,2019,21
1050-6519,2020,41
1050-6519,2021,21
1050-6519,2022,20
1050-6519,2023,16
1050-6926,2019,206
1050-6926,2020,222
1050-6926,2021,199
1050-6926,2022,347
1050-6926,2023,370
1050-7256,2019,232
1050-7256,2020,235
1050-7256,2021,225
1050-7256,2022,181
1050-7256,2023,209
1050-8392,2019,70
1050-8392,2020,51
1050-8392,2021,100
1050-8392,2022,104
1050-8392,2023,81
1050-8406,2019,24
1050-8406,2020,19
1050-8406,2021,27
1050-8406,2022,18
1050-8406,2023,21
1050-8422,2019,47
1050-8422,2020,46
1050-8422,2021,43
1050-8422,2022,47
1050-8422,2023,36
1050-8619,2019,31
1050-8619,2020,31
1050-8619,2021,27
1050-8619,2022,20
1050-8619,2023,16
1050-9208,2019,68
1050-9208,2020,84
1050-9208,2021,95
1050-9208,2022,90
1050-9208,2023,132
1050-9585,2019,58
1050-9585,2020,71
1050-9585,2021,49
1050-9585,2022,64
1050-9585,2023,61
1050-9631,2019,93
1050-9631,2020,74
1050-9631,2021,78
1050-9631,2022,61
1050-9631,2023,83
1050-9674,2019,40
1050-9674,2020,22
1050-9674,2021,25
1050-9674,2022,24
1050-9674,2023,31
1051-0443,2019,467
1051-0443,2020,469
1051-0443,2021,416
1051-0443,2022,405
1051-0443,2023,492
1051-0559,2019,23
1051-0559,2020,30
1051-0559,2021,23
1051-0559,2022,20
1051-0559,2023,28
1051-0761,2019,190
1051-0761,2020,173
1051-0761,2021,244
1051-0761,2022,249
1051-0761,2023,149
1051-0974,2019,36
1051-0974,2020,56
1051-0974,2021,63
1051-0974,2022,31
1051-0974,2023,51
1051-1253,2019,33
1051-1253,2020,40
1051-1253,2021,51
1051-1253,2022,57
1051-1253,2023,59
1051-1377,2019,50
1051-1377,2020,35
1051-1377,2021,36
1051-1377,2022,42
1051-1377,2023,35
1051-1431,2019,24
1051-1431,2020,24
1051-1431,2021,30
1051-1431,2022,21
1051-1431,2023,6
1051-144X,2019,24
1051-144X,2020,16
1051-144X,2021,21
1051-144X,2022,12
1051-144X,2023,15
1051-1482,2019,54
1051-1482,2020,80
1051-1482,2021,80
1051-1482,2022,70
1051-1482,2023,51
1051-1970,2019,120
1051-1970,2020,98
1051-1970,2021,56
1051-1970,2022,48
1051-1970,2023,57
1051-2004,2019,173
1051-2004,2020,195
1051-2004,2021,275
1051-2004,2022,446
1051-2004,2023,386
1051-2276,2019,117
1051-2276,2020,110
1051-2276,2021,123
1051-2276,2022,121
1051-2276,2023,114
1051-2284,2019,87
1051-2284,2020,132
1051-2284,2021,130
1051-2284,2022,110
1051-2284,2023,97
1051-5658,2019,36
1051-5658,2020,31
1051-5658,2021,23
1051-5658,2022,34
1051-5658,2023,30
1051-712X,2019,24
1051-712X,2020,26
1051-712X,2021,26
1051-712X,2022,22
1051-712X,2023,26
1051-8215,2019,356
1051-8215,2020,402
1051-8215,2021,417
1051-8215,2022,710
1051-8215,2023,635
1051-8223,2019,943
1051-8223,2020,663
1051-8223,2021,909
1051-8223,2022,741
1051-8223,2023,701
1051-9815,2019,229
1051-9815,2020,296
1051-9815,2021,395
1051-9815,2022,400
1051-9815,2023,400
1052-0295,2019,84
1052-0295,2020,109
1052-0295,2021,61
1052-0295,2022,49
1052-0295,2023,57
1052-1151,2019,18
1052-1151,2020,18
1052-1151,2021,18
1052-1151,2022,18
1052-1151,2023,12
1052-150X,2019,52
1052-150X,2020,51
1052-150X,2021,44
1052-150X,2022,38
1052-150X,2023,49
1052-2158,2019,24
1052-2158,2020,30
1052-2158,2021,18
1052-2158,2022,14
1052-2158,2023,11
1052-2263,2019,73
1052-2263,2020,56
1052-2263,2021,56
1052-2263,2022,51
1052-2263,2023,59
1052-2891,2019,48
1052-2891,2020,37
1052-2891,2021,33
1052-2891,2022,22
1052-2891,2023,38
1052-3057,2019,576
1052-3057,2020,797
1052-3057,2021,634
1052-3057,2022,560
1052-3057,2023,452
1052-4770,2019,12
1052-4770,2020,12
1052-4770,2021,12
1052-4770,2022,12
1052-4770,2023,12
1052-5149,2019,71
1052-5149,2020,71
1052-5149,2021,73
1052-5149,2022,83
1052-5149,2023,74
1052-5157,2019,74
1052-5157,2020,76
1052-5157,2021,74
1052-5157,2022,76
1052-5157,2023,78
1052-5629,2019,42
1052-5629,2020,59
1052-5629,2021,41
1052-5629,2022,26
1052-5629,2023,45
1052-6188,2019,75
1052-6188,2020,149
1052-6188,2021,106
1052-6188,2022,113
1052-6188,2023,125
1052-6773,2019,28
1052-6773,2020,17
1052-6773,2021,19
1052-6773,2022,28
1052-6773,2023,28
1052-6846,2019,51
1052-6846,2020,38
1052-6846,2021,20
1052-6846,2022,26
1052-6846,2023,27
1052-7001,2019,13
1052-7001,2020,10
1052-7001,2021,16
1052-7001,2022,18
1052-7001,2023,14
1052-7613,2019,197
1052-7613,2020,225
1052-7613,2021,253
1052-7613,2022,137
1052-7613,2023,132
1052-8008,2019,25
1052-8008,2020,38
1052-8008,2021,43
1052-8008,2022,32
1052-8008,2023,25
1052-9276,2019,56
1052-9276,2020,106
1052-9276,2021,106
1052-9276,2022,85
1052-9276,2023,82
1052-9284,2019,56
1052-9284,2020,42
1052-9284,2021,93
1052-9284,2022,76
1052-9284,2023,83
1053-0479,2019,40
1053-0479,2020,52
1053-0479,2021,30
1053-0479,2022,34
1053-0479,2023,35
1053-0487,2019,47
1053-0487,2020,73
1053-0487,2021,70
1053-0487,2022,69
1053-0487,2023,73
1053-0509,2019,134
1053-0509,2020,186
1053-0509,2021,197
1053-0509,2022,270
1053-0509,2023,416
1053-0770,2019,660
1053-0770,2020,679
1053-0770,2021,678
1053-0770,2022,725
1053-0770,2023,588
1053-0789,2019,39
1053-0789,2020,24
1053-0789,2021,41
1053-0789,2022,44
1053-0789,2023,38
1053-0797,2019,27
1053-0797,2020,29
1053-0797,2021,36
1053-0797,2022,37
1053-0797,2023,34
1053-0819,2019,47
1053-0819,2020,54
1053-0819,2021,47
1053-0819,2022,40
1053-0819,2023,35
1053-1807,2019,421
1053-1807,2020,433
1053-1807,2021,540
1053-1807,2022,524
1053-1807,2023,607
1053-1858,2019,46
1053-1858,2020,55
1053-1858,2021,57
1053-1858,2022,53
1053-1858,2023,29
1053-1890,2019,56
1053-1890,2020,49
1053-1890,2021,76
1053-1890,2022,62
1053-1890,2023,59
1053-2498,2019,221
1053-2498,2020,266
1053-2498,2021,234
1053-2498,2022,272
1053-2498,2023,252
1053-4202,2019,8
1053-4202,2020,9
1053-4202,2021,16
1053-4202,2022,24
1053-4202,2023,44
1053-4296,2019,43
1053-4296,2020,41
1053-4296,2021,45
1053-4296,2022,48
1053-4296,2023,46
1053-4512,2019,52
1053-4512,2020,51
1053-4512,2021,68
1053-4512,2022,56
1053-4512,2023,30
1053-4822,2019,45
1053-4822,2020,37
1053-4822,2021,38
1053-4822,2022,55
1053-4822,2023,51
1053-587X,2019,558
1053-587X,2020,477
1053-587X,2021,462
1053-587X,2022,447
1053-587X,2023,305
1053-5888,2019,138
1053-5888,2020,136
1053-5888,2021,124
1053-5888,2022,110
1053-5888,2023,147
1053-699X,2019,8
1053-699X,2020,8
1053-699X,2021,17
1053-699X,2022,12
1053-699X,2023,12
1053-8100,2019,122
1053-8100,2020,124
1053-8100,2021,121
1053-8100,2022,113
1053-8100,2023,92
1053-8127,2019,117
1053-8127,2020,123
1053-8127,2021,127
1053-8127,2022,157
1053-8127,2023,147
1053-8135,2019,137
1053-8135,2020,109
1053-8135,2021,113
1053-8135,2022,104
1053-8135,2023,113
